"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","ENTREZID"
"CSF1",-0.445098327754293,5.665347085637,-3.14030038109731,0.00323602182622374,0.05919552121141,-1.82414677207323,"1435"
"GPI",-0.299420917808875,8.5529490856746,-3.72376167716923,0.000626590456389847,0.0286162776319088,-0.360549340521678,"2821"
"HLA-A",-0.297936166422807,14.3381059286481,-2.95758846298516,0.00527384436400474,0.0807221076123175,-2.25438437467275,"3105"
"HLA-B",-0.390063389444567,14.7357986420175,-4.14049025123348,0.000182385211496044,0.0166977738634856,0.750636954306582,"3106"
"HLA-E",-0.265820691805035,13.6000743055979,-3.33989153105966,0.00186987561667298,0.043525177669074,-1.33775355066317,"3133"
"HMGB1",0.349846225306796,9.51688169897248,3.29260586175477,0.00213218116303798,0.0456895963508139,-1.45444302234829,"3146"
"IFNGR1",0.299140777304444,10.7856286688277,2.88416588520925,0.00639217114240595,0.0904552520151785,-2.42289931369801,"3459"
"IGF2R",-0.549459474617836,10.0841721945205,-3.29426986628383,0.00212238315329444,0.0456895963508139,-1.45035158126601,"3482"
"IL17RA",-0.35980027588902,10.4579702377545,-2.85020748596495,0.00698119414826739,0.0951981020218281,-2.49994866231494,"23765"
"IL2RB",-0.421611796318891,8.19579939263231,-2.80253773841981,0.00789384217132802,0.0986010521938301,-2.60713475972192,"3560"
"IL6R",-0.351284862789579,9.72038305960589,-2.78737716316681,0.00820661657069143,0.0986375737114609,-2.6409815959258,"3570"
"INPP5D",-0.234921665629892,10.5723120226505,-3.41130829475737,0.00153128708211441,0.0396022521236486,-1.15988582935501,"3635"
"ITGA2B",-1.22250429914191,8.02820310438139,-3.69839116860915,0.000674491771770413,0.0286162776319088,-0.426644626561063,"3674"
"ITGA5",-0.379668940045328,9.80986187185849,-3.60768803445794,0.000876366172847128,0.0298761195288794,-0.661296038848436,"3678"
"ITGAE",0.41087944720054,7.1717568168169,4.36452082092766,9.24327651582113e-05,0.0166977738634856,1.36480890469466,"3682"
"ITGAM",-0.42516099548418,9.85729105661161,-3.42228974069072,0.00148473409428473,0.0396022521236486,-1.13236639640425,"3684"
"JAK1",-0.285985203692784,10.3746656038927,-3.67604000929821,0.000719606553159428,0.0286162776319088,-0.484709422427583,"3716"
"KIR2DL1",-0.652119477036629,5.87768185802826,-3.15664565626242,0.00309564299590728,0.0582847566445815,-1.78493547040571,"3802"
"LAMP1",-0.378877573722008,10.3632315918911,-4.52920829618706,5.57582932320131e-05,0.0139395733080033,1.82222201043351,"3916"
"LY96",0.633274398282354,8.56352372014025,2.79637839013374,0.00801955224509818,0.0986010521938301,-2.62090005048525,"23643"
"MAP2K1",-0.234979054228507,8.86569394226373,-3.07739131730442,0.00383453382841752,0.0668814039840265,-1.97397757093825,"5604"
"MAP3K1",-0.23179597435089,10.3623658911508,-3.1774228151347,0.00292551801613103,0.0577404871604809,-1.73492760085691,"4214"
"MAP3K7",0.123948683753065,9.34102843841379,2.85385928874372,0.0069155026029021,0.0951981020218281,-2.49169042536149,"6885"
"MAVS",-0.21171586507651,8.70875002579368,-3.37392990612131,0.00170043318785823,0.0411395126094732,-1.25321952452408,"57506"
"NFATC1",-0.359360836874469,7.58057052789599,-5.46636958105481,2.9509343203666e-06,0.00221320074027495,4.48466483421213,"4772"
"NOTCH1",-0.447961056679762,8.50582787975391,-2.92653446489186,0.00572237771575519,0.0847512306219426,-2.32597470430019,"4851"
"PIK3CD",-0.349015233582639,10.831415121265,-3.65573695233138,0.000763100736850901,0.0286162776319088,-0.537317984952377,"5293"
"REL",0.178255985920251,7.65345778867141,2.98369769910409,0.00492248100050227,0.0780478869831346,-2.19383955317806,"5966"
"RELA",-0.268654159281023,7.74941515258023,-3.90159089336364,0.000372025005943062,0.0232515628714414,0.108024775961765,"5970"
"RPS6",0.709000743881296,12.9971472381511,3.98257452467914,0.000292605993355361,0.021945449501652,0.324284201676485,"6194"
"S100A8",1.14923763671655,12.766821167235,3.4589540782123,0.00133892033665711,0.0396022521236486,-1.04016624605544,"6279"
"SELPLG",-0.288482412156564,10.8533805979272,-3.3767122785278,0.00168725084545157,0.0411395126094732,-1.24629002187956,"6404"
"STAT3",-0.289537912036069,11.133493471648,-2.9232205921265,0.00577229800035366,0.0847512306219426,-2.33358706447604,"6774"
"TANK",0.361817465303952,10.8031427916542,3.43096345022512,0.00144892476032722,0.0396022521236486,-1.11059877520824,"10010"
"TAP2",-0.452075337120738,7.96153358224936,-3.0618430137114,0.00399780698390531,0.0681444372256587,-2.01073932130881,"6891"
"TAPBP",-0.369574263219129,10.8822026209445,-3.41392393718463,0.00152007366532396,0.0396022521236486,-1.15333508516963,"6892"
"TCF7",-0.283592872777263,10.5604377791378,-2.82584877666901,0.00743449122756568,0.096321772298783,-2.55486291548209,"6932"
"TGFB1",-0.431120875328652,10.7140000917992,-3.57777486847602,0.000954881408166069,0.0311374372228066,-0.738098807711501,"7040"
"THBS1",-0.836468727195991,8.01370777681778,-3.19305727789376,0.00280338700960494,0.0568254123568568,-1.69717706770858,"7057"
"TNFRSF1B",-0.319896560576791,10.9386257913083,-2.91641592011899,0.00587608532312135,0.0847512306219426,-2.34920160482964,"7133"
"XCL2",0.499263034149644,7.67466550546823,2.82948437511136,0.0073651369090156,0.096321772298783,-2.54668576558353,"6846"
